Feature,Importance
categorical__Crop_Sugarcane,0.7982151006323018
numeric__Soil_pH,0.13605168540085827
numeric__Rainfall_mm,0.02421609464792907
numeric__Nitrogen_kg_ha,0.0064281489912898305
numeric__Potassium_kg_ha,0.004267192794857886
numeric__Avg_Temperature_C,0.0036751624530695823
numeric__Pesticide_Litre_ha,0.0025952693233808203
numeric__Fertilizer_kg_ha,0.0025396074814808428
numeric__Seed_Quality_Score,0.002255635177627012
numeric__Farm_Area_Hectares,0.002180998389030414
numeric__Humidity_pct,0.0020848628059766594
numeric__Sunlight_Hours_Day,0.0020410839009035145
numeric__Phosphorus_kg_ha,0.0017149374158664738
numeric__Soil_Moisture_pct,0.0016170219801995103
numeric__Disease_Pest_Risk_pct,0.00153989762217517
categorical__Irrigation_Method_Drip,0.001141671222837379
categorical__Crop_Maize,0.0008095732459179946
categorical__Crop_Rice,0.0007560932763672403
categorical__State_Gujarat,0.0007217212817332796
categorical__Irrigation_Method_Rainfed,0.0006987830083665461
categorical__Crop_Wheat,0.00048092111033055804
categorical__District_Guntur,0.0004696599413415904
categorical__District_Indore,0.00033889526033486936
categorical__State_Maharashtra,0.00026846116582397456
categorical__State_Punjab,0.0002600677465171134
categorical__State_Andhra Pradesh,0.00022976300188182989
categorical__District_Ludhiana,0.00020762526692239336
categorical__Season_Zaid,0.00019246754609279323
categorical__District_Nashik,0.00018961367602420207
categorical__Irrigation_Method_Sprinkler,0.00017708471549562506
categorical__State_Madhya Pradesh,0.00016510538712104532
categorical__District_Nalgonda,0.00015358520366492764
categorical__Season_Kharif,0.00014750324688685387
categorical__State_Karnataka,0.0001418807754055261
categorical__Irrigation_Method_Flood,0.00013495159521920565
categorical__District_Rajkot,0.00011718661339461634
categorical__District_Warangal,0.00011701846311998335
categorical__District_Krishna,0.00011225605699879817
categorical__Crop_Chilli,0.00010880207505440397
categorical__Season_Rabi,7.633099581828548e-05
categorical__Crop_Pulses,7.549040028930731e-05
categorical__State_Tamil Nadu,7.117281693043301e-05
categorical__District_Erode,6.480193753493448e-05
categorical__State_Telangana,6.320542695393282e-05
categorical__District_Raichur,4.8146577838785856e-05
categorical__Crop_Cotton,2.058367729437652e-05
categorical__Crop_Groundnut,1.6878267540344205e-05
